time_delay_ps,power_initial_w,power_1z0_w,power_3z0_w
-5.0,0.0018158323094380666,0.0018141465919644867,0.0018162441639375726
-4.9609375,0.001963368376109404,0.0019615567453025243,0.0019638139380092168
-4.921875,0.0021228904505097954,0.0021209455044582277,0.0021234228278897375
-4.8828125,0.0022953720751316916,0.0022932608181123002,0.002296089323569357
-4.843749999999999,0.0024818658303580343,0.0024796176326305,0.002482777277410169
-4.8046875,0.002683509745066807,0.0026812280729857315,0.0026845618633390034
-4.765625,0.0029015342261457296,0.002899302509130311,0.0029026646025654785
-4.7265625,0.003137269548744167,0.0031352196912759044,0.0031384243974509033
-4.6875,0.003392153952431301,0.0033902829792750487,0.003393398056565182
-4.6484375,0.0036677423920329,0.003666074530976468,0.003669221467176829
-4.609374999999999,0.003965715995804229,0.00396437997151317,0.003967365587796214
-4.5703125,0.0042878922877841626,0.004286820660415243,0.004289677242107109
-4.53125,0.0046362362356882495,0.00463533685804002,0.004638239478942533
-4.4921875,0.00501287219055924,0.005011995669819669,0.0050150400038016275
-4.453125,0.005420096789629262,0.005419374343552101,0.005422490103306363
-4.4140625,0.005860392899483419,0.005859792112598435,0.005862981920403992
-4.374999999999999,0.00633644468268011,0.006336033148546974,0.006339242611710367
-4.3359375,0.006851153877507761,0.006851022480501317,0.006854187530649725
-4.296875,0.007407657387573707,0.007407662171764528,0.007410857393333162
-4.2578125,0.008009346285460154,0.008009346793240345,0.008012845254936726
-4.21875,0.008659886342782334,0.008660025935821637,0.0086635487029801
-4.1796875,0.009363240207678012,0.009363497224533196,0.009366985801060145
-4.140624999999999,0.010123691360086647,0.01012414037381007,0.01012778418738511
-4.1015625,0.010945869985177504,0.01094637782425499,0.010950441473326154
-4.0625,0.011834780916001519,0.011835336980276428,0.01183992400080763
-4.0234375,0.012795833807909916,0.012796586867812581,0.012801594839714124
-3.984375,0.013834875719549824,0.013835646452906745,0.013841427565092398
-3.9453125,0.014958226288350552,0.01495898507400764,0.014965876605646309
-3.9062499999999996,0.01617271570239939,0.016173537786298344,0.016181781805382028
-3.8671874999999996,0.017485725685511305,0.017486573295259822,0.017496019181219537
-3.8281249999999996,0.01890523372816261,0.01890581801341959,0.018917012597388795
-3.7890625,0.02043986081382006,0.020440143230712644,0.020453323660644573
-3.75,0.02209892290808642,0.022098578982605737,0.02211416275558725
-3.7109375,0.023892486497028433,0.023891346112639537,0.02390979448869278
-3.6718749999999996,0.025831428481071617,0.025829581697233563,0.025850969637115456
-3.6328125,0.027927500751949566,0.027924567074915172,0.02794958496283724
-3.5937499999999996,0.030193399802382732,0.030189641334973327,0.030218202623434876
-3.5546875,0.032642841741413346,0.032638374639266006,0.03267087946736919
-3.515625,0.03529064311261035,0.035285915777559684,0.03532194176313908
-3.4765624999999996,0.0381528079376167,0.03814783753450233,0.03818791026337889
