wavelength_shift_nm,spec_input_norm,spec_kerr_norm,spec_raman_norm
-339.78840121454954,3.917493723509029e-22,2.456637369965351e-19,1.2652794885993178e-19
-336.58285025969536,1.3545442112354681e-21,3.264136357546989e-19,1.8951418161571362e-19
-333.37729930484113,1.2060093342906872e-21,4.973099571491155e-19,2.982004437392824e-19
-330.17174834998684,3.149525715615824e-21,7.989978078537725e-19,4.87854775542632e-19
-326.9661973951326,3.458113425783472e-21,1.3441004953404386e-18,7.693873576034971e-19
-323.7606464402784,7.577275047793554e-21,2.3170237583897195e-18,1.2500416018901412e-18
-320.5550954854241,9.520470415422368e-21,3.812490734801789e-18,1.917657554543559e-18
-317.3495445305699,1.8663654998203324e-20,6.061526619557346e-18,2.9336099728929217e-18
-314.1439935757156,2.5579656175616477e-20,9.06010654819829e-18,4.225631054147421e-18
-310.9384426208614,4.670486821883536e-20,1.3566529521920608e-17,6.185314742391255e-18
-307.73289166600716,6.770487936226842e-20,2.0932936934068068e-17,9.237323499933584e-18
-304.5273407111529,1.1811110982881358e-19,3.396622891486848e-17,1.463306594893427e-17
-301.32178975629864,1.7753028332255175e-19,5.334376923428013e-17,2.258447430346257e-17
-298.11623880144447,3.0075643062693463e-19,7.725492599218613e-17,3.2358388687675943e-17
-294.9106878465902,4.627532204154502e-19,9.885856901472409e-17,4.061106260143507e-17
-291.70513689173595,7.692955335720792e-19,1.1429688251818534e-16,4.5715270528261575e-17
-288.4995859368817,1.2016738530025445e-18,1.2460756002819772e-16,4.842859599044856e-17
-285.2940349820274,1.973518131370614e-18,1.436611240141253e-16,5.527869656860677e-17
-282.08848402717325,3.1129654901926357e-18,1.9745381504372958e-16,7.746313940664769e-17
-278.882933072319,5.072385629803674e-18,3.449294161471953e-16,1.3835384377437792e-16
-275.67738211746473,8.051712786706573e-18,6.756700185344957e-16,2.697224752246102e-16
-272.4718311626105,1.3053187216288098e-17,1.2724621804156823e-15,4.959153474417607e-16
-269.26628020775627,2.0805037733851307e-17,2.1906889499844534e-15,8.2980613147027755e-16
-266.060729252902,3.361755092732131e-17,3.5376166883548683e-15,1.310646884164114e-15
-262.8551782980478,5.3724083944668523e-17,5.4922384255804294e-15,2.017482738803983e-15
-259.6496273431936,8.662417245821223e-17,8.363938767363576e-15,3.0690321655839145e-15
-256.4440763883393,1.38672006113451e-16,1.2790348335179723e-14,4.692102426825166e-15
-253.2385254334851,2.2328365734047106e-16,1.9775166100596838e-14,7.229421795291502e-15
-250.0329744786308,3.578422765984115e-16,3.046421846766681e-14,1.107763264879259e-14
-246.82742352377656,5.756634358257752e-16,4.6762868070305873e-14,1.689653255983249e-14
-243.6218725689223,9.23248779264179e-16,7.30860355148987e-14,2.636819952436785e-14
-240.4163216140681,1.4843669172789346e-15,1.1725569180047644e-13,4.270743557917289e-14
-237.21077065921386,2.3817528488243957e-15,1.9022345935182304e-13,7.076638016959783e-14
-234.0052197043596,3.827837085157876e-15,3.0623308486944525e-13,1.1727418963280807e-13
-230.79966874950537,6.143880008134394e-15,4.820348034552034e-13,1.9137177403296544e-13
-227.59411779465114,9.871686272946658e-15,7.406471983355454e-13,3.079183466418156e-13
-224.38856683979688,1.584776411083432e-14,1.1374293649568397e-12,5.002748538826372e-13
-221.18301588494268,2.5459272214696117e-14,1.7848488162502502e-12,8.307689507427413e-13
-217.9774649300884,4.0877069524369414e-14,2.8250733742869886e-12,1.3796204529262887e-12
-214.77191397523416,6.56616111983652e-14,4.406435412587832e-12,2.238606948747557e-12
-211.5663630203799,1.0543448846515179e-13,6.755490842977052e-12,3.5507120525525706e-12
-208.36081206552566,1.6934961179274403e-13,1.0170150938993732e-11,5.505375214961944e-12
-205.15526111067143,2.7194425068529716e-13,1.4879772323528505e-11,8.262230827861114e-12
-201.9497101558172,4.367787771654617e-13,2.1210356922096194e-11,1.2039572841623014e-11
-198.74415920096294,7.014121826630182e-13,3.001276883998795e-11,1.7379402775530563e-11
-195.53860824610874,1.1265277516997824e-12,4.255519323070623e-11,2.5126942108992727e-11
-192.33305729125448,1.8091070405323212e-12,6.01086524544476e-11,3.614726831911577e-11
-189.12750633640024,2.9055225939942473e-12,8.396155461961146e-11,5.1321922941510875e-11
-185.921955381546,4.66609532216677e-12,1.150651454055624e-10,7.152646959713518e-11
-182.71640442669175,7.493900606436696e-12,1.534604995604271e-10,9.74510879948388e-11
-179.51085347183746,1.2034883421319017e-11,2.0038917004867797e-10,1.305875320162983e-10
-176.3053025169833,1.9328246751034086e-11,2.658987928713118e-10,1.7746376610613435e-10
-173.09975156212903,3.1040554460334755e-11,3.795795220649671e-10,2.5686876800526963e-10
-169.89420060727477,4.985142316483152e-11,5.976704702609203e-10,4.062668499194573e-10
-166.68864965242057,8.006018551960563e-11,1.0014824989598556e-09,6.856252726556108e-10
